,proyecto,entidad,sectorial,P2017,C2017,D2017,P2018,C2018,D2018,P2019,C2019,D2019,P2020,C2020,D2020,P2021,C2021,D2021,text
3305,   rehabilitacion y ampliacion de la carretera bricenola unionsan isidro  de   kms de longitud  ubicado en la provincia de manabi,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,0.0,525059.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y ampliacion de la carretera bricenola unionsan isidro  de   kms de longitud  ubicado en la provincia de manabi  sectorial  comunicaciones
3306,   rehabilitacion y ampliacion de la carretera bricenola unionsan isidro de  kms de longitud ubicado en la p,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,65632.45,525056.9,65632.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y ampliacion de la carretera bricenola unionsan isidro de  kms de longitud ubicado en la p  sectorial  comunicaciones
3307,   rehabilitacion y asfaltado de las calles de tulcan y la parroquia urbana de julio andrade ubicadas en el canton,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y asfaltado de las calles de tulcan y la parroquia urbana de julio andrade ubicadas en el canton  sectorial  comunicaciones
3308,   rehabilitacion y fiscalizacion de la avenida manuel cordova galarza,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,2114598.91,13970078.360000001,2114598.91,15331.63,737915.6399999999,143095.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y fiscalizacion de la avenida manuel cordova galarza  sectorial  comunicaciones
3309,   rehabilitacion y fiscalizacion de la avenida manuel cordova galarza,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496012.55999999994,925890.12,771575.1,0.0,462945.05999999994,0.0,  ministerio de transporte y obras publicas   rehabilitacion y fiscalizacion de la avenida manuel cordova galarza  sectorial comunicaciones
3310,   rehabilitacion y mantenimiento carretera suma  pedernales de  km,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,11318397.119999997,25523365.319999997,17015576.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y mantenimiento carretera suma  pedernales de  km  sectorial  comunicaciones
3311,   rehabilitacion y mantenimiento carretera suma  pedernales de  km.,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y mantenimiento carretera suma  pedernales de  km.  sectorial  comunicaciones
3312,   rehabilitacion y mantenimiento de la c  balbanera,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192000.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y mantenimiento de la c  balbanera  sectorial comunicaciones
3313,   rehabilitacion y mantenimiento de la c alausi  huigra de  km y accesos a la moya  san antonio de montalvo ,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,946.84,35348.76,8837.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacion y mantenimiento de la c alausi  huigra de  km y accesos a la moya  san antonio de montalvo   sectorial  comunicaciones
3314,"   rehabilitacion y mantenimiento de la c. alausi  huigra de , km y accesos a la moya  san antonio de montalvo",  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,89950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  ministerio de transporte y obras publicas   rehabilitacion y mantenimiento de la c. alausi  huigra de , km y accesos a la moya  san antonio de montalvo  sectorial  comunicaciones"
