,target,sdg,text
22,G3T8,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades lograr la cobertura sanitaria universal en particular la proteccion contra los riesgos financieros el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas seguros eficaces asequibles y de calidad para todos garantizar una vida sana y promover el bienestar para todos en todas las edades
23,G3T9,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades para reducir sustancialmente el numero de muertes y enfermedades producidas por productos quimicos peligrosos y la contaminacion del aire el agua y el suelo garantizar una vida sana y promover el bienestar para todos en todas las edades
24,G3T10,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades fortalecer la aplicacion del convenio marco de la organizacion mundial de la salud para el control del tabaco en todos los paises segun proceda garantizar una vida sana y promover el bienestar para todos en todas las edades
25,G3T11,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades apoyar las actividades de investigacion y desarrollo de vacunas y medicamentos para las enfermedades transmisibles y no transmisibles que afectan primordialmente a los paises en desarrollo y facilitar el acceso a medicamentos y vacunas esenciales asequibles de conformidad con la declaracion de doha relativa al acuerdo sobre los adpic y la salud publica en la que se afirma el derecho de los paises en desarrollo a utilizar al maximo las disposiciones del acuerdo sobre los aspectos de los derechos de propiedad intelectual relacionados con el comercio en lo relativo a la flexibilidad para proteger la salud publica y en particular proporcionar acceso a los medicamentos para todos garantizar una vida sana y promover el bienestar para todos en todas las edades
26,G3T12,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades aumentar sustancialmente la financiacion de la salud y la contratacion el desarrollo la capacitacion y la retencion del personal sanitario en los paises en desarrollo especialmente en los paises menos adelantados y los pequenos estados insulares en desarrollo garantizar una vida sana y promover el bienestar para todos en todas las edades
27,G3T13,G3,garantizar una vida sana y promover el bienestar para todos en todas las edades reforzar la capacidad de todos los paises en particular los paises en desarrollo en materia de alerta temprana reduccion de riesgos y gestion de los riesgos para la salud nacional y mundial garantizar una vida sana y promover el bienestar para todos en todas las edades
28,G4T1,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a asegurar que todas las ninas y todos los ninos terminen la ensenanza primaria y secundaria que ha de ser gratuita equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
29,G4T2,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a asegurar que todas las ninas y todos los ninos tengan acceso a servicios de atencion y desarrollo en la primera infancia y educacion preescolar de calidad a fin de que esten preparados para la ensenanza primaria garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
30,G4T3,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a asegurar el acceso igualitario de todos los hombres y las mujeres a una formacion tecnica profesional y superior de calidad incluida la ensenanza universitaria garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
31,G4T4,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a aumentar considerablemente el numero de jovenes y adultos que tienen las competencias necesarias en particular tecnicas y profesionales para acceder al empleo el trabajo decente y el emprendimiento garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
32,G4T5,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a eliminar las disparidades de genero en la educacion y asegurar el acceso igualitario a todos los niveles de la ensenanza y la formacion profesional para las personas vulnerables incluidas las personas con discapacidad los pueblos indigenas y los ninos en situaciones de vulnerabilidad garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
33,G4T6,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a asegurar que todos los jovenes y una proporcion considerable de los adultos tanto hombres como mujeres esten alfabetizados y tengan nociones elementales de aritmetica garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
34,G4T7,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a asegurar que todos los alumnos adquieran los conocimientos teoricos y practicos necesarios para promover el desarrollo sostenible entre otras cosas mediante la educacion para el desarrollo sostenible y los estilos de vida sostenibles los derechos humanos la igualdad de genero la promocion de una cultura de paz y no violencia la ciudadania mundial y la valoracion de la diversidad cultural y la contribucion de la cultura al desarrollo sostenible garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
35,G4T8,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos construir y adecuar instalaciones educativas que tengan en cuenta las necesidades de los ninos y las personas con discapacidad y las diferencias de genero y que ofrezcan entornos de aprendizaje seguros no violentos inclusivos y eficaces para todos garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
36,G4T9,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a aumentar considerablemente a nivel mundial el numero de becas disponibles para los paises en desarrollo en particular los paises menos adelantados los pequenos estados insulares en desarrollo y los paises africanos a fin de que sus estudiantes puedan matricularse en programas de ensenanza superior incluidos programas de formacion profesional y programas tecnicos cientificos de ingenieria y de tecnologia de la informacion y las comunicaciones de paises desarrollados y otros paises en desarrollo garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
37,G4T10,G4,garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos de aqui a aumentar considerablemente la oferta de docentes calificados incluso mediante la cooperacion internacional para la formacion de docentes en los paises en desarrollo especialmente los paises menos adelantados y los pequenos estados insulares en desarrollo garantizar una educacion inclusiva equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos
38,G5T1,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas poner fin a todas las formas de discriminacion contra todas las mujeres y las ninas en todo el mundo lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
39,G5T2,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas eliminar todas las formas de violencia contra todas las mujeres y las ninas en los ambitos publico y privado incluidas la trata y la explotacion sexual y otros tipos de explotacion lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
40,G5T3,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas eliminar todas las practicas nocivas como el matrimonio infantil precoz y forzado y la mutilacion genital femenina lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
41,G5T4,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas reconocer y valorar los cuidados y el trabajo domestico no remunerados mediante servicios publicos infraestructuras y politicas de proteccion social y promoviendo la responsabilidad compartida en el hogar y la familia segun proceda en cada pais lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
42,G5T5,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas asegurar la participacion plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida politica economica y publica lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
43,G5T6,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas asegurar el acceso universal a la salud sexual y reproductiva y los derechos reproductivos segun lo acordado de conformidad con el programa de accion de la conferencia internacional sobre la poblacion y el desarrollo la plataforma de accion de beijing y los documentos finales de sus conferencias de examen lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
44,G5T7,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos economicos asi como acceso a la propiedad y al control de la tierra y otros tipos de bienes los servicios financieros la herencia y los recursos naturales de conformidad con las leyes nacionales lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
