id,proyecto,entidad,sectorial,C2017,D2017,C2018,D2018,C2019,D2019,C2020,D2020,C2021,D2021,ctotal,dtotal
P2068S03E064,encuesta de seguimiento al plan nacional de desarr,instituto nacional de estadisticas y censos,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,11729617.690000001,1203903.62,0.0,0.0,11729617.690000001,1203903.62
P2069S03E064,encuesta de salud y nutricion ensanut 2018,instituto nacional de estadisticas y censos,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,6652.24,5701.92,4887.54,3374.76,11539.779999999999,9076.68
P206S04E040,desarrollo de enfoques de manejo de paisajes en el sistema nacional de areas protegidas del ecuador para mejorar,ministerio del ambiente,sectorial ambiente,3248506.07,1385628.56,25151126.78,2197810.11,16259679.250000002,3198037.32,0.0,0.0,0.0,0.0,44659312.1,6781475.99
P206S04E609,desarrollo de enfoques de manejo de paisajes en el sistema nacional de areas protegidas del ecuador para mejorar,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,4198555.26,568483.6799999999,5541250.57,1443926.9300000002,9739805.83,2012410.61
P2070S03E067,implementacion de un modelo de gestion para la administracion y custodia de bienes de la funcion ejecutiva a niv,secretaria tecnica de gestion inmobiliaria del sector publico,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,39733.95,20935.149999999998,26339.600000000002,0.0,66073.55,20935.149999999998
P2071S03E067,implementacion de proyectos inmobiliarios estrateg,secretaria tecnica de gestion inmobiliaria del sector publico,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,50606586.74,3749576.3600000003,0.0,0.0,50606586.74,3749576.3600000003
P2072S03E067,dotacion de infraestructura de parques urbanos y e,secretaria tecnica de gestion inmobiliaria del sector publico,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,7761838.749999999,1372826.79,0.0,0.0,7761838.749999999,1372826.79
P2073S03E266,fortalecimiento del sistema nacional de alerta tem,servicio integrado de seguridad ecu 911,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,61572063.51,4591992.42,0.0,0.0,61572063.51,4591992.42
P2074S03E266,modernizacion del sistema de atencion de emergencias y repotenciacion del equipamiento tecnologico del sis ecu,servicio integrado de seguridad ecu 911,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,88428409.11999999,0.0,41432973.92,0.0,129861383.03999999,0.0
P2075S03E590,fortalecimiento institucional de la procuraduria g,procuraduria general del estado,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,14227199.339999998,821807.0,0.0,0.0,14227199.339999998,821807.0
P2076S03E608,generacion de insumos para la actualizacion de la,secretaria nacional de planificacion,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,363298.8,167492.75000000003,32654.9,0.0,395953.7,167492.75000000003
P2077S03E608,estudios de las dinamicas y desplazamientos estaci,secretaria tecnica de planificacion planifica ecuador,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,2437148.94,0.0,0.0,0.0,2437148.94,0.0
P2078S03E608,estudios del proyecto de trasvase rio daule- pedro,secretaria nacional de planificacion,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,4499114.96,0.0,1724182.93,868061.99,6223297.89,868061.99
P2079S03E608,estudio de prefactibilidad del tren de carga elect,secretaria tecnica de planificacion planifica ecuador,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,538506.62,0.0,0.0,0.0,538506.62,0.0
P207S04E040,gestion integrada para la lucha contra la desertificacion degradacion de la tierra y adaptacion al cambio clim,ministerio del ambiente,sectorial ambiente,1623167.09,348299.51999999996,1441032.3200000003,540155.16,1363538.81,481421.49999999994,0.0,0.0,0.0,0.0,4427738.220000001,1369876.18
P2080S04E040,desarrollo de enfoques de manejo de paisajes en el,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,4468916.990000001,1092044.6099999999,113301.07,0.0,4582218.060000001,1092044.6099999999
P2081S04E040,gestion integrada para la lucha contra la desertif,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,22082.42,0.0,0.0,0.0,22082.42,0.0
P2082S04E040,ordenamiento ambiental integral en la cuenca del r,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,2433146.2,879418.45,91217.71,0.0,2524363.91,879418.45
P2083S04E040,programa nacional de reforestacion con fines de co,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,11907295.75,4456437.67,461226.32,0.0,12368522.07,4456437.67
P2084S04E040,registro de emisiones y transferencias de contamin,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,282040.95999999996,147981.96,15539.93,0.0,297580.88999999996,147981.96
P2085S04E040,elaboracion del manual de procedimientos para la a,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,2432382.41,797587.0499999998,153071.16,0.0,2585453.5700000003,797587.0499999998
